Name,Field,Stars,Forks,Contributors,Open Issues,Open Pull Requests,Date Created,Last Active,Top Languages
tensorflow/tensorflow,AI/ML,190964,74760,4904,1498,626,2015-11-07,2025-07-30,"C++ (56.0%), Python (25.6%), MLIR (6.2%), HTML (4.3%), Starlark (4.1%)"
pytorch/pytorch,AI/ML,91892,24802,5779,16708,1320,2016-08-13,2025-07-30,"Python (58.3%), C++ (33.6%), Cuda (2.9%), C (1.4%), Objective-C++ (1.1%)"
scikit-learn/scikit-learn,AI/ML,62821,26094,3358,2155,579,2010-08-17,2025-07-30,"Python (92.5%), Cython (5.4%), C++ (1.1%), Shell (0.3%), C (0.3%)"
nestjs/nest,TypeScript,72008,7960,616,65,36,2017-02-04,2025-07-30,"TypeScript (99.9%), JavaScript (0.1%), Shell (0.0%)"
prisma/prisma,TypeScript,42977,1806,308,2324,24,2019-06-20,2025-07-30,"TypeScript (98.7%), JavaScript (1.2%), Shell (0.1%), Dockerfile (0.0%), PLpgSQL (0.0%)"
adonisjs/core,TypeScript,18075,652,70,4,1,2015-08-15,2025-07-17,"TypeScript (99.8%), JavaScript (0.2%)"
typeorm/typeorm,TypeScript,35599,6421,1177,2467,134,2016-02-29,2025-07-29,"TypeScript (99.8%), JavaScript (0.2%)"
sequelize/sequelize,TypeScript,30096,4297,1243,981,91,2010-07-22,2025-07-30,"TypeScript (50.6%), JavaScript (49.1%), Shell (0.2%), Batchfile (0.0%)"
trpc/trpc,TypeScript,38039,1394,474,185,45,2020-07-18,2025-07-22,"TypeScript (80.9%), MDX (17.0%), JavaScript (1.1%), CSS (1.0%)"
fastify/fastify,TypeScript,34246,2461,830,118,44,2016-09-28,2025-07-30,"JavaScript (91.2%), TypeScript (8.7%), Shell (0.1%)"
taskforcesh/bullmq,TypeScript,7299,487,174,314,60,2018-12-19,2025-07-30,"TypeScript (82.3%), Lua (8.9%), Python (8.4%), JavaScript (0.4%), Shell (0.1%)"
mikro-orm/mikro-orm,TypeScript,8408,584,288,58,15,2018-03-15,2025-07-30,"TypeScript (99.2%), JavaScript (0.8%), Batchfile (0.0%)"
drizzle-team/drizzle-orm,TypeScript,29497,949,127,1661,100,2021-06-24,2025-07-30,
