skill_name,rank,rank_change,rank_change_direction,median_salary,salary_change_percentage,historical_vacancies_count,historical_vacancies_percentage,live_jobs_count,location,scrape_date
Finance,1,0,,82500,-2.94,4526,34.83,5771,London,2025-07-30T17:15:25.146000
Social Skills,2,0,,65000,,4265,32.82,6408,London,2025-07-30T17:15:25.146000
Agile,3,0,,85000,,3294,25.35,2561,London,2025-07-30T17:15:25.146000
Problem-Solving,4,7,+,65000,,2725,20.97,3628,London,2025-07-30T17:15:25.146999
Python,5,2,+,90000,,2597,19.98,2820,London,2025-07-30T17:15:25.146999
Azure,6,1,-,75000,-1.31,2593,19.95,1867,London,2025-07-30T17:15:25.146999
Senior,7,3,-,80000,,2402,18.48,2742,London,2025-07-30T17:15:25.146999
AWS,8,2,-,92500,2.77,2380,18.31,2398,London,2025-07-30T17:15:25.146999
Degree,9,1,+,70000,,2328,17.91,4157,London,2025-07-30T17:15:25.147999
Microsoft,10,2,-,62500,,2218,17.07,2140,London,2025-07-30T17:15:25.147999
Analytical Skills,11,3,+,65000,,1802,13.87,2968,London,2025-07-30T17:15:25.147999
SQL,12,3,-,75000,,1789,13.77,2145,London,2025-07-30T17:15:25.147999
Developer,13,1,-,80000,3.22,1627,12.52,942,London,2025-07-30T17:15:25.147999
CI/CD,14,18,+,82500,-2.94,1601,12.32,1241,London,2025-07-30T17:15:25.147999
DevOps,15,6,+,80000,-3.03,1568,12.07,1264,London,2025-07-30T17:15:25.148998
Mentoring,16,11,+,77500,-3.12,1500,11.54,2121,London,2025-07-30T17:15:25.148998
Artificial Intelligence,17,23,+,90000,2.85,1491,11.47,2863,London,2025-07-30T17:15:25.148998
Analytics,18,1,-,77500,0.64,1460,11.24,2791,London,2025-07-30T17:15:25.148998
Software Engineering,18,3,-,105000,10.52,1460,11.24,1453,London,2025-07-30T17:15:25.150001
Roadmaps,19,6,+,87500,2.94,1422,10.94,1748,London,2025-07-30T17:15:25.150001
Analyst,20,7,-,60000,-4.0,1410,10.85,1374,London,2025-07-30T17:15:25.150001
Lead,21,3,-,92500,2.77,1383,10.64,962,London,2025-07-30T17:15:25.150001
Banking,22,3,-,96250,-3.75,1345,10.35,985,London,2025-07-30T17:15:25.150001
Java,23,7,-,105000,5.0,1248,9.6,1007,London,2025-07-30T17:15:25.150001
Inclusion and Diversity,24,1,-,62500,-3.84,1234,9.5,1688,London,2025-07-30T17:15:25.151005
Marketing,25,9,+,65000,18.18,1178,9.07,3171,London,2025-07-30T17:15:25.151005
Law,26,30,+,65000,-7.14,1154,8.88,1703,London,2025-07-30T17:15:25.151005
JavaScript,27,7,-,85000,-5.55,1103,8.49,786,London,2025-07-30T17:15:25.151005
Continuous Improvement,28,17,+,70047,-6.6,1088,8.37,1452,London,2025-07-30T17:15:25.151005
Windows,29,5,-,52500,-4.54,1036,7.97,631,London,2025-07-30T17:15:25.152005
Kubernetes,30,13,+,90000,,1015,7.81,798,London,2025-07-30T17:15:25.152005
Computer Science,31,2,+,77500,3.33,1009,7.76,1477,London,2025-07-30T17:15:25.152005
Stakeholder Management,32,18,+,80000,6.66,990,7.62,1137,London,2025-07-30T17:15:25.152005
Project Management,33,7,-,70000,7.69,984,7.57,1770,London,2025-07-30T17:15:25.152005
Software Engineer,34,4,-,110000,15.78,944,7.26,663,London,2025-07-30T17:15:25.153006
Decision-Making,35,0,,75000,15.38,922,7.1,2094,London,2025-07-30T17:15:25.153006
React,36,15,+,95000,5.55,900,6.93,667,London,2025-07-30T17:15:25.153006
TypeScript,37,5,-,102500,-2.38,895,6.89,655,London,2025-07-30T17:15:25.153006
Risk Management,38,27,+,95000,25.0,853,6.56,830,London,2025-07-30T17:15:25.153006
Cybersecurity,39,2,+,72500,,840,6.46,871,London,2025-07-30T17:15:25.153006
GCP,40,12,-,100000,-4.76,833,6.41,811,London,2025-07-30T17:15:25.154005
Power Platform,41,4,-,67500,-3.57,815,6.27,784,London,2025-07-30T17:15:25.154005
Business Intelligence,42,0,,70000,3.7,810,6.23,1157,London,2025-07-30T17:15:25.154005
Microsoft 365,43,5,-,52500,-4.54,784,6.03,496,London,2025-07-30T17:15:25.154005
Terraform,44,11,+,82500,-2.94,781,6.01,674,London,2025-07-30T17:15:25.154005
Docker,45,23,+,85000,,759,5.84,704,London,2025-07-30T17:15:25.155005
Machine Learning,45,22,+,90000,2.85,759,5.84,1426,London,2025-07-30T17:15:25.155005
Broadband,46,12,+,32600,-34.8,754,5.8,71,London,2025-07-30T17:15:25.155005
Active Directory,47,1,+,47500,-8.65,739,5.69,300,London,2025-07-30T17:15:25.155005
Architect,48,26,-,91250,1.38,730,5.62,581,London,2025-07-30T17:15:25.155005
